folio;depto;area;s01a_01;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;upm;estrato;factor
16117;3;1;1;7; ; ; ; ;500;1; ;1;1; ;6; ;1; ;2;0;2;51;2;1;1;1;1;1;1; ;1;200;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;5;2;1;150;1;314-05272819842-A;14;207
16122;6;1;1;7; ; ; ; ;800;1; ;1;3; ;6; ;1; ;24;0;7;80;2;1;1;1;1;1;2;4;1;50;6; ;2; ;2; ;2; ;2; ; ;1;3000;2; ;2; ;2; ;2; ; ;2;3; ;40;1;0;2; ;1;612-02969032296-A;12;127
16128;8;1;1;5; ; ; ; ;1000;1; ;1;1; ;6; ;1; ;3;0;7;45;2;2;2;2;1;1;1; ;1;300;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;22;2;1;2; ;2;823-01106807890-A;13;266
16141;1;1;1;1; ;4; ; ;1000;2; ;1;2; ;5; ;1; ;24;0;7;62;1;1;1;1;1;1;1; ;1;167;6; ;1;3000;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;17;4;3;1;36;2;113-00418007041-A;13;205
16146;6;1;4;3; ; ; ;700; ;1; ;1;3; ;6; ;1; ;24;0;7;70;2;1;1;1;1;1;1; ;1;35;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;50;2;2;2; ;2;622-03025369376-A;12;127
16150;3;1;1;1; ;4; ; ;200;2; ;1;1; ;5; ;11; ; ; ; ;14;2;1;1;1;3; ;1; ;1;120;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;3;3;2; ;2;313-05214971514-A;13;214
16158;6;1;4;7; ; ; ; ;400;1; ;1;3; ;6; ;1; ;12;0;7;20;2;1;1;1;1;1;2;2;1;100;6; ;2; ;2; ;2; ;2; ; ;1;1000;2; ;2; ;2; ;2; ; ;2;4; ;15;1;0;2; ;1;623-02609161112-A;13;175
16160;2;2;1;1; ;4; ; ;200;2; ;1;4; ;1; ;7; ; ; ; ;0;2;2;1;1;5; ; ; ;1;20;3; ;1;10;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;2; ;0;3;3;2; ;2;251-06572425418-D;21;854
16167;6;1;1;1; ;4; ; ;500;1; ;1;3; ;6; ;2; ;18;0;7;38;2;1;1;1;1;1;1; ;1;155;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;22;4;3;2; ;2;623-02609161112-A;13;175
16174;6;1;1;3; ; ; ;700; ;1; ;1;1; ;5; ;1; ;24;0;7;68;2;1;1;1;1;1;1; ;1;130;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;22;2;2;2; ;2;622-03025369376-A;12;127
16178;3;1;1;7; ; ; ; ;600;1; ;1;1; ;6; ;1; ;1;0;2;50;2;1;1;1;1;1;1; ;1;180;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;4;2;1;120;1;314-05272819842-A;14;207
16182;6;1;1;1; ;4; ; ;800;1; ;2;3; ;5; ;1; ;24;0;7;75;2;1;2;1;2; ;1; ;1;70;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;23;3;2;2; ;2;622-03025369376-A;12;127
16187;1;2;1;1; ;3; ; ;150;1; ;1;1; ;5; ;1; ;1;0;7;8;2;2;2;2;2; ;1; ;1;7;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;26;2;1;2; ;2;152-03576155699-D;22;388
16190;8;1;1;2; ;2; ; ;2000;1; ;1;1; ;6; ;4; ; ; ; ;0;1;1;1;1;1;1;1; ;1;180;6; ;1;1200;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;4;4;2; ;2;823-01106807890-A;13;266
16196;5;2;1;1; ;4; ; ;60;2; ;1;1; ;5; ;9; ; ; ; ;0;1;1;1;1;2; ;1; ;1;23;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;3;2;2; ;2;553-04376903591-D;23;615
16197;5;2;1;1; ;4; ; ;50;2; ;2;1; ;1; ;9; ; ; ; ;0;2;2;2;2;5; ; ; ;1;25;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;1; ;10;2;0;2; ;2;553-04376903591-D;23;615
16198;5;2;1;1; ; ; ; ;50;2; ;2;1; ;1; ;9; ; ; ; ;0;2;2;2;1;5; ; ; ;1;25;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;28;1;0;2; ;2;553-04376903591-D;23;615
16199;5;2;1;1; ;4; ; ;40;2; ;2;1; ;1; ;9; ; ; ; ;0;2;2;2;2;5; ; ; ;1;20;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;1; ;5;2;1;2; ;2;553-04376903591-D;23;615
16210;5;2;1;1; ;4; ; ;100;2; ;2;1; ;5; ;2; ;24;0;7;0;1;1;1;2;5; ; ; ;1;14;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;1; ;0;3;1;2; ;2;553-04376903591-D;23;615
16211;5;2;1;1; ;4; ; ;100;2; ;2;1; ;1; ;7; ; ; ; ;0;2;2;2;2;5; ; ; ;1;14;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;1; ;0;5;3;2; ;2;553-04376903591-D;23;615
16212;5;2;1;1; ;4; ; ;100;2; ;2;1; ;1; ;7; ; ; ; ;0;2;2;1;1;5; ; ; ;1;25;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;4;1;2; ;2;553-04376903591-D;23;615
16213;5;2;1;1; ;4; ; ;50;2; ;2;1; ;1; ;7; ; ; ; ;0;1;1;1;2;5; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;1;1;2; ;2;553-04376903591-D;23;615
16232;2;1;1;3; ; ; ;100; ;1; ;1;3; ;5; ;1; ;24;0;7;50;2;1;1;1;1;1;1; ;1;40;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;45;2;2;2; ;2;263-06137029962-A;13;221
16233;2;1;1;3; ; ; ;300; ;1; ;2;1; ;5; ;1; ;24;0;7;35;1;1;1;1;1;1;1; ;1;18;5; ;2; ;2; ;1;15;2; ; ;2; ;2; ;2; ;1;30;2; ; ;1;3; ;50;1;1;2; ;1;263-06137029962-A;13;221
16240;2;1;1;1; ;5;HERENCIA; ;500;1; ;1;3; ;5; ;1; ;24;0;7;35;2;1;1;1;1;1;1; ;1;300;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;24;4;2;2; ;2;263-06137029962-A;13;221
16241;2;1;1;3; ; ; ;250; ;1; ;1;3; ;5; ;2; ;24;0;7;10;2;1;1;1;1;1;1; ;1;40;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;23;1;0;2; ;2;263-06137029962-A;13;221
16250;2;1;1;7; ; ; ; ;500;1; ;1;3; ;5; ;1; ;24;0;7;14;1;1;1;1;1;1;1; ;1;70;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;45;2;1;2; ;1;263-06139706555-A;13;221
16251;2;1;1;1; ;4; ; ;200;2; ;2;3; ;5; ;1; ;24;0;7;30;1;1;1;1;1;1;2;3;1;80;5; ;1;50;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;15;1;1;2; ;2;263-06139706555-A;13;221
16252;2;1;1;1; ;4; ; ;200;2; ;1;1; ;7; ;2; ;24;0;7;10;1;1;1;1;1;1;1; ;1;50;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;13;3;3;2; ;2;263-06139706555-A;13;221
16253;2;1;1;3; ; ; ;150; ;1; ;1;1; ;5; ;1; ;24;0;7;7;1;1;1;1;1;1;1; ;1;25;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;4;2;2; ;2;263-06139706555-A;13;221
16271;2;1;1;1; ;4; ; ;100;1; ;1;3; ;5; ;1; ;24;0;7;10;1;1;1;1;1;1;2;2;1;35;3; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;6;2;1;2; ;2;263-06142670979-A;13;241
16274;2;1;1;1; ;4; ; ;300;2; ;1;1; ;5; ;2; ;24;0;7;20;2;1;1;1;1;1;1; ;1;40;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;3;2;2; ;2;263-06142670979-A;13;241
16279;2;1;1;1; ;4; ; ;200;1; ;1;3; ;5; ;1; ;24;0;6;15;2;1;1;1;1;1;1; ;1;40;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;9;2;1;2; ;2;263-06142670979-A;13;241
16344;2;1;4;3; ; ; ;200; ;1; ;1;1; ;5; ;2; ;24;0;7;15;2;1;1;1;1;1;2;4;1;20;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;22;1;1;2; ;2;262-06116682512-A;12;182
16348;2;1;4;1; ;4; ; ;350;1; ;1;1; ;5; ;1; ;24;0;7;35;1;1;1;1;1;1;1; ;1;50;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;18;3;2;2; ;2;262-06116682512-A;12;182
16359;3;1;1;1; ;4; ; ;900;1; ;1;1; ;5; ;1; ;4;0;2;45;1;1;1;1;1;1;1; ;1;90;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;2;2;2; ;2;312-05215271971-A;12;189
16400;6;1;4;7; ; ; ; ;400;5; ;2;1; ;1; ;2; ;24;0;7;90;2;1;2;2;1;1;1; ;1;90;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;3;2;2; ;2;622-03025369376-A;12;127
16407;2;1;1;1; ; ; ; ;150;1; ;1;1; ;5; ;1; ;16;0;7;35;1;1;1;1;1;1;2;2;1;40;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;17;1;1;2; ;2;263-06079054976-A;13;221
16413;2;1;1;1; ;4; ; ;800;2; ;1;1; ;5; ;1; ;15;0;7;12;1;1;1;1;3; ;1; ;1;30;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;18;3;2;1;0;2;263-06079054976-A;13;221
16419;2;1;1;1; ;4; ; ;180;1; ;1;1; ;5; ;1; ;16;0;7;65;2;1;1;1;1;1;1; ;1;100;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;18;3;3;2; ;2;263-06079054976-A;13;221
16421;2;1;1;3; ; ; ;150; ;2; ;1;1; ;5; ;1; ;16;0;7;84;1;1;1;1;1;1;2;2;1;102;5; ;2; ;1;150;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;8;1;1;2; ;2;263-06079054976-A;13;221
16430;3;1;1;1; ;4; ; ;4200;1; ;1;2; ;6; ;1; ;24;0;7;150;1;1;1;1;1;1;1; ;1;160;6; ;1;70000;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;8;7;2;1;170;2;314-05244169531-A;14;207
16434;3;1;4;3; ; ; ;700; ;1; ;1;1; ;6; ;1; ;2;0;3;60;1;1;1;1;1;1;1; ;1;70;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;10;2;1;2; ;2;314-05244169531-A;14;207
16438;3;1;3;2; ;4; ; ;2100;1; ;1;2; ;6; ;1; ;24;0;7;90;1;1;1;1;1;1;1; ;1;70;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;12;4;1;2; ;2;314-05243433676-A;14;248
16441;3;1;1;5; ; ; ; ;1000;1; ;1;3; ;6; ;1; ;12;0;7;40;2;1;1;1;1;1;1; ;1;60;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;15;3;2;1;35;2;314-05243433676-A;14;248
16444;3;1;1;1; ;4; ; ;1000;1; ;1;1; ;5; ;11; ; ; ; ;60;2;1;1;1;1;1;1; ;1;60;6; ;1;6000;2; ;2; ;2; ; ;2; ;2; ;1;6500;2; ;2; ; ;1;4; ;12;7;3;1;35;2;314-05203481405-A;14;225
16448;1;1;4;3; ; ; ;600; ;1; ;1;1; ;6; ;1; ;24;0;7;30;2;1;1;1;1;1;2;4;1;40;3; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;1;0;2; ;1;113-00418007041-A;13;205
16450;8;1;1;3; ; ; ;300; ;1; ;1;1; ;6; ;1; ;24;0;7;20;2;1;1;1;1;2;1; ;1;80;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;7; ; ;1;1;2; ;2;824-01106014787-A;14;316
16451;8;1;1;7; ; ; ; ;700;1; ;1;1; ;6; ;1; ;24;0;7;30;2;1;1;1;1;2;1; ;1;50;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;1;1;2; ;2;824-01106014787-A;14;316
16452;8;1;1;7; ; ; ; ;400;1; ;1;1; ;5; ;1; ;24;0;7;30;2;2;2;2;1;2;1; ;1;40;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;1;1;2; ;2;824-01106014787-A;14;316
16453;8;1;1;1; ;4; ; ;500;1; ;1;1; ;5; ;1; ;24;0;7;60;2;1;1;1;1;2;1; ;1;150;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;3;2;2; ;2;824-01106014787-A;14;316
16455;6;1;1;1; ;4; ; ;1000;1; ;1;3; ;6; ;1; ;13;0;7;54;1;1;1;1;1;1;1; ;1;55;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;1;200;2; ; ;1;4; ;11;3;1;2; ;2;623-02609161112-A;13;175
16457;3;1;4;3; ; ; ;550; ;1; ;1;1; ;5; ;1; ;4;0;2;25;2;1;2;1;1;1;2;2;1;20;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;23;1;1;2; ;2;314-05243433676-A;14;248
16460;7;1;1;1; ;4; ; ;2500;1; ;1;2; ;6; ;1; ;24;0;7;300;1;1;1;1;1;1;1; ;1;500;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;4;3;1;150;1;714-05265017658-A;14;441
16465;6;1;1;1; ;4; ; ;500;1; ;1;3; ;6; ;2; ;18;0;7;45;2;1;1;1;1;1;1; ;1;58;6; ;1;12000;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;4; ;20;1;1;2; ;2;623-02609161112-A;13;175
16472;3;2;1;1; ;4; ; ;10;2; ;2;2; ;1; ;9; ; ; ; ;0;2;1;1;1;5; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;1; ;0;1;1;2; ;2;351-05320791081-D;21;491
