folio;depto;area;s01a_01;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;upm;estrato;factor
666;8;1;1;3; ; ; ;4000; ;1; ;1;2; ;7; ;11; ; ; ; ;30;2;1;1;1;1;2;2;4;1;110;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;814-00755463913-A;14;316
759;8;1;1;1; ;5;HERENCIA; ;2000;1; ;1;2; ;6; ;10; ; ; ; ;50;1;1;1;1;1;1;1; ;1;250;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;6;6;1;60;2;814-00756167925-A;14;316
881;5;1;4;3; ; ; ;250; ;2; ;1;1; ;5; ;2; ;8;0;1;5;2;1;1;1;1;1;1; ;1;60;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;28;1;0;2; ;2;512-00377418851-A;12;350
884;5;1;4;3; ; ; ;200; ;2; ;1;1; ;5; ;2; ;4;0;1;4;1;1;1;1;1;1;2;2;1;10;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;11;1;0;2; ;2;512-00377418851-A;12;350
888;8;1;1;1; ;4; ; ;500;1; ;1;2; ;5; ;2; ;1;0;1;130;1;2;2;2;1;1;2;3;1;150;6; ;1;35000;2; ;1;500;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;814-00755463913-A;14;316
893;8;1;1;1; ;4; ; ;1000;1; ;1;2; ;6; ;2; ;1;0;4;200;1;2;1;2;1;2;1; ;1;200;6; ;1;10000;2; ;1;500;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;75;3;3;2; ;2;814-00755463913-A;14;316
986;5;1;1;1; ;4; ; ;150;2; ;1;3; ;5; ;1; ;12;0;2;28;2;1;1;1;1;1;2;4;1;218;5; ;2; ;1;300;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;32;4;4;2; ;2;512-00377418851-A;12;350
993;5;1;1;7; ; ; ; ;150;2; ;1;1; ;5; ;2; ;5;0;2;50;2;1;2;2;1;1;2;2;1;60;6; ;2; ;2; ;2; ;2; ; ;1;1000;2; ;2; ;2; ;2; ; ;2;3; ;25;1;0;2; ;2;512-00377418851-A;12;350
1348;8;1;1;1; ;4; ; ;1000;1; ;1;2; ;5; ;1; ;6;0;7;130;1;1;1;1;1;1;1; ;1;60;6; ;1;2400;2; ;2; ;1;LEVANTAMIENTO DE BARDA DE MATERIAL DE CHUCHIO;220;2; ;1;220;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;814-00756167925-A;14;316
1429;5;1;4;3; ; ; ;150; ;1; ;1;3; ;6; ;2; ;3;0;2;10;2;1;1;1;1;1;2;2;1;35;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;1;0;2; ;2;512-00377418851-A;12;350
1435;5;1;1;2; ;1; ; ;600;1; ;1;3; ;5; ;1; ;12;0;7;14;1;1;1;1;2; ;1; ;1;80;6; ;2; ;2; ;2; ;1;PINTADO DE PUERTA;150;2; ;2; ;2; ;2; ;2; ; ;1;4; ;8;2;2;2; ;2;513-00378440236-A;13;402
1436;5;1;1;1; ;4; ; ;1000;1; ;2;3; ;6; ;1; ;5;0;7;28;2;1;1;1;1;1;1; ;1;210;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;17;5;3;2; ;2;513-00378440236-A;13;402
1437;5;1;1;1; ;4; ; ;600;1; ;1;1; ;6; ;1; ;4;0;6;25;2;1;1;1;2; ;1; ;1;25;6; ;2; ;2; ;2; ;2; ; ;1;6000;2; ;2; ;2; ;2; ; ;1;4; ;10;7;3;2; ;2;513-00378440236-A;13;402
1508;5;1;1;1; ;4; ; ;500;1; ;1;1; ;6; ;1; ;3;0;2;28;2;1;1;1;1;1;2;2;1;130;6; ;1;3000;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;4;3;2; ;2;512-00377418851-A;12;350
1515;5;1;1;1; ;4; ; ;150;2; ;1;1; ;5; ;2; ;2;0;2;18;2;1;2;1;1;1;1; ;1;25;6; ;2; ;2; ;2; ;2; ; ;2; ;1;1000;2; ;2; ;2; ; ;1;4; ;20;2;1;2; ;2;512-00377418851-A;12;350
1527;5;1;4;7; ; ; ; ;250;1; ;1;1; ;6; ;2; ;4;0;1;5;1;1;1;1;1;1;2;2;1;45;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;22;1;0;2; ;2;512-00377418851-A;12;350
1557;5;1;1;1; ;4; ; ;800;2; ;1;1; ;3; ;2; ;12;0;7;17;2;1;1;1;1;1;1; ;1;36;6; ;2; ;2; ;2; ;2; ; ;1;30000;2; ;2; ;2; ;2; ; ;1;4; ;13;5;3;2; ;2;514-00377379138-A;14;411
1558;5;1;1;1; ;4; ; ;1200;1; ;1;1; ;3; ;1; ;2;0;7;50;2;1;1;1;1;1;1; ;1;170;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;25;7;5;1;36;2;514-00377379138-A;14;411
1560;5;1;1;1; ;4; ; ;800;1; ;1;1; ;5; ;1; ;6;0;7;21;2;1;1;1;1;1;1; ;1;50;6; ;1;60000;1;1000;1;1000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;18;2;2;1;39;2;514-00377379138-A;14;411
1794;8;1;1;1; ;4; ; ;1500;1; ;1;1; ;6; ;11; ; ; ; ;40;2;1;1;1;1;1;1; ;1;450;5; ;1;2000;2; ;1;260;2; ; ;1;3000;1;1500;2; ;2; ;2; ; ;1;3; ;25;7;6;2; ;1;814-00755463913-A;14;316
1802;8;1;1;1; ;5;HERENCIA DE SU PADRE; ;900;1; ;1;2; ;5; ;1; ;3;30;7;150;2;1;1;1;1;1;1; ;1;105;5; ;2; ;1;150;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;50;2;2;2; ;1;814-00755463913-A;14;316
1811;8;1;1;7; ; ; ; ;150;1; ;2;2; ;5; ;11; ; ; ; ;50;1;1;1;1;1;3;1; ;1;150;5; ;1;10000;2; ;2; ;2; ; ;1;5000;2; ;2; ;2; ;2; ; ;2;3; ;25;3;3;2; ;2;813-00756381697-A;13;243
1851;5;1;3;7; ; ; ; ;700;1; ;1;1; ;6; ;1; ;5;0;2;20;2;1;1;1;1;1;1; ;1;80;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;12;2;2;2; ;1;512-00377418851-A;12;350
1856;5;1;4;3; ; ; ;160; ;1; ;1;3; ;5; ;1; ;4;0;6;20;2;1;1;1;2; ;2;2;1;20;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;10;1;1;2; ;2;513-00378440236-A;13;402
3280;7;1;1;1; ;4; ; ;700;1; ;1;3; ;5; ;2; ;24;0;7;80;2;1;1;2;1;1;1; ;1;120;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;3;3;2; ;2;713-05269040303-A;13;486
3281;7;1;4;5; ; ; ; ;600;1; ;1;1; ;5; ;2; ;24;0;7;70;1;1;1;2;1;1;2;3;1;80;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;1;1;2; ;2;713-05269040303-A;13;486
3305;7;1;1;1; ;4; ; ;2500;1; ;1;2; ;6; ;1; ;24;0;7;110;2;1;1;1;1;1;1; ;1;190;6; ;1;3500;2; ;2; ;2; ; ;2; ;2; ;2; ;1;850;2; ; ;1;3; ;25;7;6;2; ;2;713-05269040303-A;13;486
3358;7;1;1;1; ;4; ; ;1500;1; ;1;2; ;6; ;1; ;24;0;7;70;2;1;1;1;1;1;1; ;1;400;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;50;3;2;2; ;1;713-05269040303-A;13;486
3359;1;1;1;1; ;4; ; ;1000;2; ;1;2; ;5; ;3; ;1;0;7;15;1;1;1;2;1;1;1; ;1;24;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;22;3;1;2; ;2;112-04190828218-A;12;210
3360;1;1;1;3; ; ; ;800; ;2; ;1;2; ;5; ;1; ;4;0;5;25;2;1;1;2;1;1;1; ;1;60;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;3;2;2; ;2;112-04190828218-A;12;210
3364;1;1;1;1; ;4; ; ;5000;1; ;1;3; ;6; ;1; ;24;0;7;70;1;1;1;1;1;1;1; ;1;150;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;25;4;3;1;40;2;113-00418695355-A;13;205
3365;1;1;3;3; ; ; ;2500; ;1; ;1;3; ;6; ;1; ;24;0;7;40;1;1;1;1;1;1;1; ;1;70;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;3;2;2; ;2;113-00418695355-A;13;205
3368;1;1;1;7; ; ; ; ;200;1; ;1;1; ;6; ;1; ;4;0;4;70;1;1;1;1;1;1;1; ;1;40;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;12;3;2;2; ;2;112-04190828218-A;12;210
3369;1;1;1;1; ;4; ; ;300;1; ;1;3; ;6; ;1; ;24;0;7;25;1;1;1;1;1;1;1; ;1;58;5; ;2; ;2; ;2; ;2; ; ;1;20000;2; ;2; ;2; ;2; ; ;1;3; ;23;3;2;2; ;2;112-04190828218-A;12;210
3418;7;1;1;1; ;4; ; ;1500;1; ;1;1; ;5; ;1; ;24;0;7;70;1;1;1;1;1;1;1; ;1;250;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;50;2;2;1;350;1;713-05269040303-A;13;486
3464;7;1;1;2; ;4; ; ;600;1; ;1;2; ;6; ;2; ;24;0;7;70;2;1;1;1;1;3;2;2;1;150;6; ;2; ;1;600;2; ;2; ; ;1;100000;2; ;2; ;2; ;2; ; ;1;3; ;13;2;1;2; ;2;711-05281125414-A;11;369
3466;1;1;1;1; ;4; ; ;1200;1; ;1;3; ;5; ;2; ;24;0;4;35;1;1;1;1;1;1;2;2;1;90;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;50;5;3;2; ;2;113-00418695355-A;13;205
3553;7;1;1;1; ;5;HERENCIA DE SU MADRE; ;2800;2; ;1;1; ;6; ;1; ;24;0;7;150;1;1;1;1;1;1;1; ;1;150;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;200;2;2;1;60;2;713-05233006500-A;13;486
3555;7;1;1;1; ;4; ; ;1200;1; ;1;2; ;5; ;1; ;24;0;7;100;1;1;1;1;1;2;1; ;1;200;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;4;2;2; ;1;713-05203009183-A;13;486
3556;7;1;1;1; ;4; ; ;500;1; ;1;2; ;6; ;1; ;24;0;7;150;2;1;1;1;1;2;1; ;1;200;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;8;3;2;1;100;1;713-05203009183-A;13;486
3561;7;1;1;3; ; ; ;450; ;1; ;1;2; ;5; ;2; ;24;0;7;50;1;1;1;1;1;5;2;2;1;60;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;1;1;2; ;2;712-05201796441-A;12;398
3565;7;1;3;6; ; ; ; ;2000;1; ;1;1; ;6; ;1; ;24;0;7;150;1;1;1;1;1;1;1; ;1;600;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;4;3;1;200;1;714-05232098520-A;14;481
3571;7;1;1;6; ; ; ; ;1500;1; ;1;3; ;6; ;1; ;24;0;7;70;2;1;1;1;1;1;1; ;1;70;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;22;1;1;2; ;1;714-05232098520-A;14;481
3577;1;1;1;1; ;4; ; ;200;1; ;1;1; ;5; ;2; ;3;0;7;21;2;1;1;1;1;1;2;2;1;40;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;50;2;1;2; ;2;112-04152467277-A;12;210
3580;7;1;4;3; ; ; ;350; ;1; ;1;2; ;5; ;1; ;24;0;7;30;1;1;2;2;1;1;2;7;1;50;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;26;1;0;2; ;2;713-05197451593-A;13;486
3581;7;1;4;3; ; ; ;400; ;1; ;1;2; ;5; ;1; ;24;0;7;70;1;1;1;2;1;2;1; ;1;100;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;1;0;2; ;2;713-05197451593-A;13;486
3582;7;1;1;1; ;4; ; ;1000;1; ;1;3; ;6; ;1; ;24;0;4;60;2;1;2;2;1;1;1; ;1;90;6; ;2; ;1;3000;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;2;2;2; ;2;713-05197451593-A;13;486
3583;7;1;1;7; ; ; ; ;800;1; ;1;2; ;6; ;1; ;24;0;7;120;2;1;2;2;1;2;1; ;1;350;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;2;2;1;20;1;713-05197451593-A;13;486
3590;7;1;1;7; ; ; ; ;600;5; ;2;1; ;5; ;2; ;24;0;7;32;2;2;2;2;2; ;1; ;1;114;6; ;1;400;2; ;1;600;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;27;1;1;2; ;2;711-05281125414-A;11;369
3594;7;1;4;3; ; ; ;1200; ;1; ;1;2; ;6; ;2; ;24;0;7;60;2;1;1;1;1;2;1; ;1;160;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;72;3;2;1;30;2;713-05197451593-A;13;486
3599;7;1;1;1; ;4; ; ;1500;1; ;1;2; ;6; ;1; ;24;0;7;190;1;1;1;1;1;1;1; ;1;270;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;50;2;2;1;0;2;713-05269040303-A;13;486
3603;7;1;1;1; ;4; ; ;7000;1; ;1;1; ;6; ;1; ;2;0;2;100;2;1;1;1;1;1;1; ;1;55;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;714-05232098520-A;14;481
3606;7;1;1;1; ;4; ; ;700;1; ;1;2; ;6; ;1; ;8;0;7;250;2;1;1;1;1;1;2;2;1;260;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;25;3;2;2; ;2;713-05233006500-A;13;486
3607;7;1;1;1; ;4; ; ;3500;1; ;1;2; ;6; ;1; ;12;0;7;500;2;1;1;1;1;1;1; ;1;700;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;30;8;5;1;100;1;713-05233006500-A;13;486
3678;7;1;1;1; ;4; ; ;2000;1; ;1;2; ;5; ;1; ;15;0;7;120;2;1;2;1;1;2;1; ;1;170;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;48;1;1;2; ;2;713-05203009183-A;13;486
3681;7;1;1;1; ;4; ; ;2500;1; ;1;2; ;5; ;1; ;24;0;7;70;1;1;1;1;1;1;1; ;1;130;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;85;2;2;2; ;1;713-05203009183-A;13;486
3686;7;1;1;3; ; ; ;1000; ;1; ;1;2; ;6; ;2; ;24;0;7;25;1;1;1;1;1;2;1; ;1;50;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;1;30;2; ; ;2;3; ;25;2;1;2; ;2;713-05237587564-A;13;449
3688;7;1;4;7; ; ; ; ;500;1; ;2;1; ;5; ;2; ;24;0;7;70;2;1;1;1;1;1;2;3;1;80;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;713-05269040303-A;13;486
3729;7;1;1;1; ;5;PRESTAMO DEL BANCO; ;700;1; ;1;1; ;7; ;2; ;24;0;7;70;1;1;1;1;1;1;1; ;1;100;6; ;2; ;2; ;2; ;1;LA BARDA DE APOCO;800;2; ;1;800;2; ;2; ;2; ; ;2;3; ;25;4;4;2; ;2;713-05203009183-A;13;486
3922;7;1;1;2; ;4; ; ;500;1; ;1;2; ;6; ;2; ;24;0;7;200;1;1;1;1;1;1;1; ;1;300;6; ;1;60000;1;10000;1;600;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;15;1;1;2; ;1;713-05235060491-A;13;449
3950;7;1;1;1; ;4; ; ;600;2; ;1;1; ;7; ;2; ;24;0;7;54;1;1;1;1;1;2;1; ;1;130;6; ;1;500;1;100;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;2;2;2; ;2;713-05214295299-A;13;584
3957;1;1;1;1; ;4; ; ;1500;1; ;1;3; ;6; ;1; ;24;0;7;120;1;1;1;1;1;1;1; ;1;130;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;38;6;5;1;35;2;114-04181160807-A;14;467
3958;1;1;4;6; ; ; ; ;200;1; ;1;1; ;6; ;1; ;24;0;7;25;1;1;1;1;1;1;1; ;2; ;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;1;0;2; ;2;114-04181160807-A;14;467
3959;1;1;1;1; ;4; ; ;1200;1; ;1;1; ;6; ;1; ;24;0;7;75;1;1;1;1;1;1;1; ;1;80;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;30;4;3;1;26;1;114-04181160807-A;14;467
3960;1;1;1;1; ;4; ; ;1500;1; ;1;2; ;3; ;1; ;24;0;7;110;1;1;1;1;1;1;1; ;1;150;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;30;4;3;1;60;1;114-04181160807-A;14;467
3961;1;1;1;1; ;4; ; ;500;1; ;1;2; ;6; ;1; ;24;0;7;60;1;1;1;1;1;1;1; ;1;112;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;18;3;2;2; ;2;113-04176930844-A;13;205
3962;1;1;1;1; ;4; ; ;2500;1; ;1;3; ;5; ;1; ;24;0;7;54;1;1;1;1;1;1;1; ;1;80;3; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;18;3;2;2; ;2;113-04176930844-A;13;205
3963;1;1;1;1; ;4; ; ;600;1; ;1;3; ;5; ;1; ;24;0;7;45;1;1;1;1;1;1;1; ;1;70;3; ;2; ;2; ;2; ;2; ; ;1;25000;2; ;2; ;2; ;2; ; ;1;4; ;14;4;3;2; ;2;113-04176930844-A;13;205
3964;1;1;1;2; ;1; ; ;600;1; ;1;3; ;6; ;1; ;24;0;7;130;1;1;1;1;1;1;1; ;1;200;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;68;5;4;1;180;2;113-04176930844-A;13;205
3970;7;1;4;3; ; ; ;300; ;1; ;1;2; ;5; ;2; ;24;0;7;30;2;1;2;2;1;2;2;4;1;40;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;7; ; ;1;0;2; ;2;713-05197451593-A;13;486
3972;7;1;4;6; ; ; ; ;1000;1; ;1;2; ;6; ;1; ;24;0;7;80;2;1;1;1;1;1;1; ;1;80;6; ;2; ;1;1200;1;300;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;2;1;2; ;1;714-05232098520-A;14;481
3973;7;1;3;5; ; ; ; ;1000;1; ;1;2; ;6; ;1; ;24;0;7;130;2;1;1;1;1;1;1; ;1;130;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;3;2;2; ;1;714-05232098520-A;14;481
3974;7;1;3;7; ; ; ; ;1500;1; ;1;3; ;6; ;1; ;24;0;7;80;2;1;1;1;1;1;1; ;1;100;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;4;2;2; ;1;714-05232098520-A;14;481
3975;7;1;1;7; ; ; ; ;2000;1; ;1;1; ;5; ;1; ;24;0;7;250;2;1;1;1;1;1;1; ;1;300;6; ;1;3000;1;1500;1;1000;2; ; ;2; ;2; ;2; ;1;250;2; ; ;1;3; ;43;5;4;2; ;2;714-05232098520-A;14;481
3979;1;1;4;3; ; ; ;150; ;1; ;1;1; ;5; ;2; ;12;0;3;18;1;1;1;1;2; ;2;2;1;15;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;1; ;8;1;1;2; ;2;112-04152467277-A;12;210
3992;7;1;1;1; ;3; ; ;3500;1; ;1;2; ;6; ;1; ;24;0;7;200;1;1;1;1;1;1;1; ;1;200;6; ;1;2000;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;20;5;4;1;50;1;714-05259664509-A;14;481
3998;7;1;1;7; ; ; ; ;2100;1; ;1;2; ;6; ;1; ;24;0;7;187;1;1;1;1;1;1;1; ;1;454;6; ;1;7000;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;169;3;3;1;50;2;714-05259664509-A;14;481
4027;7;1;3;3; ; ; ;3500; ;1; ;1;3; ;6; ;1; ;24;0;7;200;1;1;1;1;1;1;1; ;1;240;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;50;1;1;2; ;1;714-05230398099-A;14;441
4028;7;1;3;3; ; ; ;3500; ;1; ;1;3; ;6; ;1; ;24;0;7;160;1;1;1;1;1;1;1; ;1;80;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;30;2;1;1;80;1;714-05230398099-A;14;441
4029;7;1;1;1; ;4; ; ;1400;1; ;1;3; ;6; ;1; ;24;0;7;450;2;2;2;2;1;1;1; ;1;300;6; ;1;100;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;22;5;4;1;600;1;714-05230398099-A;14;441
4030;7;1;1;1; ;4; ; ;1500;1; ;1;2; ;6; ;1; ;24;0;7;250;2;1;2;2;1;1;1; ;1;280;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;3;2;2; ;2;714-05230398099-A;14;441
4075;7;1;3;1; ;4; ; ;5000;1; ;1;3; ;6; ;1; ;24;0;7;300;1;1;1;1;1;1;1; ;1;400;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;20;2;1;2; ;1;714-05230398099-A;14;441
4076;7;1;3;1; ;4; ; ;3000;1; ;1;3; ;6; ;1; ;24;0;7;300;1;1;2;1;1;1;1; ;1;400;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;20;2;1;2; ;1;714-05230398099-A;14;441
4077;7;1;3;1; ;4; ; ;2000;1; ;1;2; ;6; ;1; ;24;0;7;280;1;1;1;1;1;1;1; ;1;280;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;9;3;2;2; ;1;714-05230398099-A;14;441
4078;7;1;3;1; ;4; ; ;2000;1; ;1;3; ;6; ;1; ;24;0;7;200;1;1;1;1;1;1;1; ;1;151;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;20;1;1;2; ;1;714-05230398099-A;14;441
4081;7;1;1;1; ;5;VIVIENDA FAMILIAR DEL PADRE DE LA INFORMANTE; ;500;1; ;1;3; ;7; ;2; ;24;0;7;250;1;1;1;1;1;1;2;3;1;300;6; ;1;100;2; ;1;50;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;50;1;1;2; ;2;713-05235060491-A;13;449
4084;7;1;3;1; ;4; ; ;3000;1; ;1;3; ;6; ;1; ;24;0;7;60;1;1;1;1;1;1;1; ;1;210;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;2;1;2; ;1;714-05230398099-A;14;441
4085;7;1;3;2; ;2; ; ;2450;1; ;1;3; ;6; ;1; ;24;0;7;40;1;1;1;1;1;1;1; ;1;80;5; ;1;100;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;3;2;2; ;1;714-05230398099-A;14;441
4086;7;1;3;1; ;4; ; ;2000;1; ;1;3; ;6; ;1; ;24;0;7;200;1;1;1;1;1;1;1; ;1;280;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;2;1;1;120;1;714-05230398099-A;14;441
4087;7;1;3;2; ;2; ; ;3000;1; ;1;3; ;6; ;1; ;24;0;7;20;2;1;1;1;1;1;1; ;1;50;5; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;2;1;1;100;1;714-05230398099-A;14;441
4092;1;1;1;5; ; ; ; ;700;2; ;1;1; ;6; ;1; ;24;0;7;18;1;1;1;1;1;1;1; ;1;120;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;3;3;2; ;1;114-04181160807-A;14;467
4093;1;1;1;1; ;4; ; ;1500;1; ;1;1; ;3; ;1; ;24;0;7;60;1;1;1;1;1;1;1; ;1;150;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;14;4;4;2; ;2;114-04181160807-A;14;467
4095;1;1;4;7; ; ; ; ;2000;1; ;1;2; ;6; ;1; ;24;0;7;35;1;1;1;1;1;1;2;2;1;50;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;8;2;1;2; ;2;114-04181160807-A;14;467
